line,subtitle,movie,country,
87,"Son tus ojos los que han cambiado, cariÑo.",dolor_y_gloria,spain,
88,La pelÍcula es la misma.,dolor_y_gloria,spain,
89,¿Sabes cÓmo localizarle?,dolor_y_gloria,spain,
90,Vive en El Escorial.,dolor_y_gloria,spain,
91,"SÍ, en casa de alguien.",dolor_y_gloria,spain,
92,"Trabaja intermitentemente, pero está guapo.",dolor_y_gloria,spain,
93,"Sin renunciar a... Bueno, a tú ya me entiendes...",dolor_y_gloria,spain,
94,Me sorprende que seas tú el que no trabaja.,dolor_y_gloria,spain,
95,Siempre pensÉ que eras de los que no se jubilan.,dolor_y_gloria,spain,
96,Yo tambiÉn.,dolor_y_gloria,spain,
97,- ¿Sigues teniendo el mismo telÉfono?,dolor_y_gloria,spain,
98,"- SÍ. SÍ, sÍ.",dolor_y_gloria,spain,
99,Te paso su contacto y tambiÉn te paso el mÍo...,dolor_y_gloria,spain,
100,Por si alguna vez te aburres y escribes,dolor_y_gloria,spain,
101,algo que sÓlo pueda hacer yo.,dolor_y_gloria,spain,
102,Hasta aquÍ. Os dejo con el padre JosÉ MarÍa.,dolor_y_gloria,spain,
103,"Buenos dÍas, chicos.",dolor_y_gloria,spain,
104,Lo primero que vamos a hacer es,dolor_y_gloria,spain,
105,elegir a quiÉnes formarÉis el coro.,dolor_y_gloria,spain,
106,¿Alguno ha cantado en un coro antes?,dolor_y_gloria,spain,
107,Que levante la mano.,dolor_y_gloria,spain,
108,"Bueno, vamos a hacer una prueba.",dolor_y_gloria,spain,
109,"Tú, ven aquÍ, tú mismo.",dolor_y_gloria,spain,
110,- ¿CÓmo te llamas?,dolor_y_gloria,spain,
111,- Rodolfo.,dolor_y_gloria,spain,
112,"Vamos a ver, Rodolfo, cÓmo andas de vocalizaciÓn.",dolor_y_gloria,spain,
113,Repite conmigo.,dolor_y_gloria,spain,
114,"Cu, cu, cu, cu, cu...",dolor_y_gloria,spain,
115,A ver...,dolor_y_gloria,spain,
116,"La, la, la, la, la, la...",dolor_y_gloria,spain,
117,Tarararara...,dolor_y_gloria,spain,
118,"Tú, el de al lado. ¿CÓmo te llamas?",dolor_y_gloria,spain,
119,Salvador.,dolor_y_gloria,spain,
120,Bonito nombre. ¿Te gusta cantar?,dolor_y_gloria,spain,
121,No sÉ.,dolor_y_gloria,spain,
122,"Pero te gustará la música, ¿verdad?",dolor_y_gloria,spain,
123,"SÍ, me gustan los Beatles y el cine.",dolor_y_gloria,spain,
124,Pues aquÍ ampliaremos y dirigiremos tus gustos,dolor_y_gloria,spain,
125,hacia temas menos paganos.,dolor_y_gloria,spain,
126,Vamos a hacer una prueba de vocalizaciÓn.,dolor_y_gloria,spain,
127,"La, la, la, la, la...",dolor_y_gloria,spain,
128,"Ri, i, i, i, i...",dolor_y_gloria,spain,
129,"Ri, i, i, i, i...",dolor_y_gloria,spain,
130,"La, la, la, la, la...",dolor_y_gloria,spain,
131,"La, la, la, la, la, la...",dolor_y_gloria,spain,
132,"La, larala, la, la, la...",dolor_y_gloria,spain,
133,"La, larala, la, la, la...",dolor_y_gloria,spain,
134,"Vamos a calentar esas voces, chicos.",dolor_y_gloria,spain,
135,AsÍ fue como me convertÍ en el solista del coro.,dolor_y_gloria,spain,
136,Los curas decidieron que no asistiera,dolor_y_gloria,spain,
137,"a las clases de GeografÍa e Historia,",dolor_y_gloria,spain,
138,ni a Ciencias e Historia del Arte.,dolor_y_gloria,spain,
139,"Durante los tres primeros aÑos del bachillerato,",dolor_y_gloria,spain,
140,el tiempo de esas asignaturas,dolor_y_gloria,spain,
141,yo me lo pasaba ensayando.,dolor_y_gloria,spain,
142,Y siempre aprobaba.,dolor_y_gloria,spain,
143,"Hicieron de mÍ un absoluto ignorante,",dolor_y_gloria,spain,
144,que aprobaba todas las asignaturas,dolor_y_gloria,spain,
145,sin presentarme a los exámenes.,dolor_y_gloria,spain,
146,"Con el tiempo, me hice director de cine",dolor_y_gloria,spain,
147,y empecÉ a aprender GeografÍa espaÑola,dolor_y_gloria,spain,
148,viajando para promocionar,dolor_y_gloria,spain,
149,las pelÍculas que dirigÍ.,dolor_y_gloria,spain,
150,Viajaba porque tenÍa Éxito.,dolor_y_gloria,spain,
151,Mi conocimiento de la geografÍa coincidÍa,dolor_y_gloria,spain,
152,con mi expansiÓn como cineasta.,dolor_y_gloria,spain,
153,EmpecÉ a conocer mi cuerpo a travÉs,dolor_y_gloria,spain,
154,del dolor y las enfermedades.,dolor_y_gloria,spain,
155,VivÍ los treinta primeros aÑos,dolor_y_gloria,spain,
156,"con relativa inconsciencia,",dolor_y_gloria,spain,
157,"pero pronto descubrÍ que mi cabeza,",dolor_y_gloria,spain,
158,"y lo que habÍa dentro de ella,",dolor_y_gloria,spain,
159,"además de ser fuente de placer y conocimiento,",dolor_y_gloria,spain,
160,entraÑaba infinitas posibilidades de dolor.,dolor_y_gloria,spain,
161,"ConocÍ pronto el insomnio,",dolor_y_gloria,spain,
162,"la faringitis crÓnica, la otitis,",dolor_y_gloria,spain,
163,"el reflujo, la úlcera y el asma intrÍnseca.",dolor_y_gloria,spain,
164,"Los nervios, en general,",dolor_y_gloria,spain,
165,"y el ciático, en particular.",dolor_y_gloria,spain,
166,"lumbares, dorsales, tendinitis,",dolor_y_gloria,spain,
167,ambas rodillas y hombros.,dolor_y_gloria,spain,
168,Esto es un tinnitus.,dolor_y_gloria,spain,
169,TambiÉn tengo.,dolor_y_gloria,spain,
170,Estos son sibilancias o pitos.,dolor_y_gloria,spain,
171,TambiÉn los padezco.,dolor_y_gloria,spain,
172,"Además de los tinnitus y las sibilancias,",dolor_y_gloria,spain,
173,mi especialidad son los dolores de cabeza.,dolor_y_gloria,spain,
174,"MigraÑas, cefaleas de tensiÓn o",dolor_y_gloria,spain,
175,en racimo y dolores de espalda.,dolor_y_gloria,spain,
176,"A partir de la operaciÓn de artrodesis lumbar,",dolor_y_gloria,spain,
177,"que me inmovilizÓ más de la mitad de la espalda,",dolor_y_gloria,spain,
178,descubrÍ que mi vida girarÍa,dolor_y_gloria,spain,
179,en torno a la columna vertebral.,dolor_y_gloria,spain,
180,TomÉ conciencia de cada una de las vÉrtebras,dolor_y_gloria,spain,
181,y la cantidad de músculos y ligamentos,dolor_y_gloria,spain,
182,"que componen la mitologÍa de nuestro organismo,",dolor_y_gloria,spain,
183,"y que, como con los dioses griegos,",dolor_y_gloria,spain,
184,nuestra única forma de relaciÓn,dolor_y_gloria,spain,
185,es a travÉs del sacrificio.,dolor_y_gloria,spain,
186,Pero no todo es tan fÍsico e ilustrable.,dolor_y_gloria,spain,
187,TambiÉn padezco penalidades abstractas.,dolor_y_gloria,spain,
188,"Dolores del alma, como el pánico y la ansiedad,",dolor_y_gloria,spain,
189,que aÑaden angustia y terror a mi vida.,dolor_y_gloria,spain,
190,"Y, naturalmente, alterno",dolor_y_gloria,spain,
191,desde hace aÑos con la depresiÓn.,dolor_y_gloria,spain,
192,"Las noches que coinciden varios dolores,",dolor_y_gloria,spain,
193,esas noches creo en Dios,dolor_y_gloria,spain,
194,y le rezo.,dolor_y_gloria,spain,
195,Los dÍas en que solo padezco un tipo de dolor...,dolor_y_gloria,spain,
196,soy ateo.,dolor_y_gloria,spain,
197,Es aquÍ. Es aquÍ.,dolor_y_gloria,spain,
198,Muy bien.,dolor_y_gloria,spain,
199,- QuÉdese con la vuelta.,dolor_y_gloria,spain,
200,- Muchas gracias.,dolor_y_gloria,spain,
201,- AdiÓs. Gracias.,dolor_y_gloria,spain,
202,"- AdiÓs, buenas.",dolor_y_gloria,spain,
203,¿QuiÉn es?,dolor_y_gloria,spain,
204,"Alberto, soy Salvador.",dolor_y_gloria,spain,
205,¿QuÉ Salvador?,dolor_y_gloria,spain,
206,Salvador Mallo.,dolor_y_gloria,spain,
207,¿QuÉ haces aquÍ?,dolor_y_gloria,spain,
208,- Tengo que hablar contigo.,dolor_y_gloria,spain,
209,- ¿De quÉ?,dolor_y_gloria,spain,
210,De Sabor.,dolor_y_gloria,spain,
211,¿Me invitas a entrar?,dolor_y_gloria,spain,
212,¿Te apetece tomar algo?,dolor_y_gloria,spain,
213,- Lo mismo que tú.,dolor_y_gloria,spain,
214,- Me estaba preparando un tÉ.,dolor_y_gloria,spain,
215,Pues eso.,dolor_y_gloria,spain,
216,"Anda, mira.",dolor_y_gloria,spain,
217,Me encanta que tengas aquÍ Sabor.,dolor_y_gloria,spain,
218,¿Para quÉ has venido?,dolor_y_gloria,spain,
219,Treinta y dos aÑos me ha costado,dolor_y_gloria,spain,
220,reconciliarme con esta pelÍcula.,dolor_y_gloria,spain,
221,Treinta y dos aÑos...,dolor_y_gloria,spain,
222,¡QuÉ bonito! ¿QuÉ son esos árboles? ¿Abetos?,dolor_y_gloria,spain,
223,Pinos.,dolor_y_gloria,spain,
224,¿Me vas a explicar de una puta vez,dolor_y_gloria,spain,
225,para quÉ has venido a verme,dolor_y_gloria,spain,
226,despuÉs de treinta y dos aÑos?,dolor_y_gloria,spain,
227,La Filmoteca ha restaurado Sabor.,dolor_y_gloria,spain,
228,Han decidido que es un clásico.,dolor_y_gloria,spain,
229,Y la han programado para un ciclo de cine,dolor_y_gloria,spain,
230,rodado en Madrid.,dolor_y_gloria,spain,
231,Me llamaron para pedirme,dolor_y_gloria,spain,
232,que la presentáramos juntos.,dolor_y_gloria,spain,
233,¿Y no saben que no nos hablamos desde el rodaje?,dolor_y_gloria,spain,
234,"Bueno... Si lo saben, no me han dicho nada.",dolor_y_gloria,spain,
235,"Alberto, los chismes envejecen,",dolor_y_gloria,spain,
236,como las personas.,dolor_y_gloria,spain,
237,"- Oye, ¿te importa que nos sentemos?",dolor_y_gloria,spain,
238,"- No, no... SiÉntate.",dolor_y_gloria,spain,
239,Muchas gracias.,dolor_y_gloria,spain,
240,Pero ¿y por quÉ te da a ti ahora,dolor_y_gloria,spain,
241,por que la presentemos juntos?,dolor_y_gloria,spain,
242,- Porque no la presentaste en el estreno.,dolor_y_gloria,spain,
243,"- ¡Porque tú me lo prohibiste, maricÓn!",dolor_y_gloria,spain,
244,Por eso creo que ahora es justo,dolor_y_gloria,spain,
245,que la presentemos los dos en la Filmoteca.,dolor_y_gloria,spain,
246,¿Y quiÉn te dio mi direcciÓn?,dolor_y_gloria,spain,
247,- Zulema.,dolor_y_gloria,spain,
248,- Je.,dolor_y_gloria,spain,
249,Me la encontrÉ por casualidad y hablamos de ti.,dolor_y_gloria,spain,
250,"Oye, yo voy a fumarme un chino.",dolor_y_gloria,spain,
251,"Si el espectáculo te repugna, puedes irte.",dolor_y_gloria,spain,
252,Y ya nos llamamos para lo de la Filmoteca.,dolor_y_gloria,spain,
253,¿Me invitas?,dolor_y_gloria,spain,
254,"No te reconozco, Salvador.",dolor_y_gloria,spain,
255,"- ¿QuÉ es, la primera vez?",dolor_y_gloria,spain,
256,- SÍ.,dolor_y_gloria,spain,
257,¿Y para quÉ quieres probar,dolor_y_gloria,spain,
258,la heroÍna a estas alturas?,dolor_y_gloria,spain,
259,Por curiosidad.,dolor_y_gloria,spain,
260,Seguro que tú te estás documentando para algo.,dolor_y_gloria,spain,
261,"La gota, la gota, la gota, la gota...",dolor_y_gloria,spain,
262,¡Salvador!,dolor_y_gloria,spain,
263,¡Salva! ¡Salva!,dolor_y_gloria,spain,
264,¡Ven a echarme una mano!,dolor_y_gloria,spain,
265,"- Mamá, me he encontrado una novela.",dolor_y_gloria,spain,
266,"- Muy bien, dÉjala ahÍ.",dolor_y_gloria,spain,
267,Agarra.,dolor_y_gloria,spain,
268,¿Que quÉ coÑo iba a saber yo que aquÍ era fiesta?,dolor_y_gloria,spain,
269,- ¡Si en nuestro pueblo no es fiesta!,dolor_y_gloria,spain,
270,- Yo tampoco.,dolor_y_gloria,spain,
271,"Pues vaya nochecita nos espera, hijo.",dolor_y_gloria,spain,
272,QuÉ vergüenza.,dolor_y_gloria,spain,
273,"Abre el chocolate, Salvador.",dolor_y_gloria,spain,
274,"Voy, mamá.",dolor_y_gloria,spain,
275,"Mamá, hay dos cromos.",dolor_y_gloria,spain,
276,"Ay, deja los cromos ahora, hijo. Vamos a comer.",dolor_y_gloria,spain,
277,Liz Taylor y Robert Taylor.,dolor_y_gloria,spain,
278,¿Tú crees que son hermanos?,dolor_y_gloria,spain,
279,Pues supongo.,dolor_y_gloria,spain,
280,Come.,dolor_y_gloria,spain,
281,"Ay, quÉ pena, hijo.",dolor_y_gloria,spain,
282,AquÍ tirados como gitanos.,dolor_y_gloria,spain,
283,A mÍ me gusta la estaciÓn.,dolor_y_gloria,spain,
284,Tú eres muy novelero.,dolor_y_gloria,spain,
285,Yo no sÉ a quiÉn habrás salido.,dolor_y_gloria,spain,
286,"ArrÓpate, no te vayas a poner malo encima.",dolor_y_gloria,spain,
287,"¡Huy, por Dios, quÉ tomate!",dolor_y_gloria,spain,
288,No te lo habÍa visto.,dolor_y_gloria,spain,
289,"Trae para acá, que te lo coso.",dolor_y_gloria,spain,
290,"Mira, con el huevo.",dolor_y_gloria,spain,
291,- Uy.,dolor_y_gloria,spain,
292,"- …chate para allá. Venga, a dormir.",dolor_y_gloria,spain,
293,"¿Tú sabes que tu padre, en la mili,",dolor_y_gloria,spain,
294,"aprendiÓ a coser, y a zurcir",dolor_y_gloria,spain,
295,y a planchar camisas?,dolor_y_gloria,spain,
296,Lo hacÍa muy bien.,dolor_y_gloria,spain,
297,¿Tú crees que voy a ir a la mili?,dolor_y_gloria,spain,
298,"Pues me imagino que tendrás que ir, hijo.",dolor_y_gloria,spain,
299,Pues yo no quiero ir a la mili.,dolor_y_gloria,spain,
300,Ni yo que vayas. No sirve para nada.,dolor_y_gloria,spain,
301,- Mamá...,dolor_y_gloria,spain,
302,- ¿QuÉ?,dolor_y_gloria,spain,
303,¿Tú crees que Liz Taylor le coserá,dolor_y_gloria,spain,
304,los calcetines a Robert Taylor?,dolor_y_gloria,spain,
305,Pues no sÉ...,dolor_y_gloria,spain,
306,"Hombre, yo en las fotos no le veo",dolor_y_gloria,spain,
307,mucha pinta de que le guste zurcir.,dolor_y_gloria,spain,
308,¿Estás bien?,dolor_y_gloria,spain,
309,"No te olvides de respirar, ¿eh?",dolor_y_gloria,spain,
310,No.,dolor_y_gloria,spain,
311,"¡Por Dios, quÉ noche más larga!",dolor_y_gloria,spain,
312,CreÍ que no llegábamos nunca.,dolor_y_gloria,spain,
313,Te dije que esperaras unos dÍas,dolor_y_gloria,spain,
314,hasta que estuviera instalado.,dolor_y_gloria,spain,
315,- Tu madre ya estaba harta de nosotros.,dolor_y_gloria,spain,
316,- No digas eso.,dolor_y_gloria,spain,
317,¿no?,dolor_y_gloria,spain,
318,- ¿Sabes lo que dijo hace tres dÍas?,dolor_y_gloria,spain,
319,- ¿QuÉ?,dolor_y_gloria,spain,
320,"""¡Hay que ver este mes",dolor_y_gloria,spain,
321,"cÓmo ha subido la cuenta del pan!"".",dolor_y_gloria,spain,
322,- ¿Tú te crees?,dolor_y_gloria,spain,
323,- No se lo tengas en cuenta.,dolor_y_gloria,spain,
324,Ya sabes cÓmo es.,dolor_y_gloria,spain,
325,Yo no voy a ser una carga para nadie.,dolor_y_gloria,spain,
326,"Ese mismo dÍa hice las maletas, y aquÍ estamos.",dolor_y_gloria,spain,
327,"¡Salva! Salva, ven aquÍ.",dolor_y_gloria,spain,
328,¿O es que prefieres estar solo?,dolor_y_gloria,spain,
329,"- Ay, Jacinta, no me digas esas cosas.",dolor_y_gloria,spain,
330,- Ya...,dolor_y_gloria,spain,
331,Lo que digo es que podÍas,dolor_y_gloria,spain,
332,haber esperado unos dÍas.,dolor_y_gloria,spain,
333,"- Oye, ¿falta mucho?",dolor_y_gloria,spain,
334,- No.,dolor_y_gloria,spain,
335,¡El afilador!,dolor_y_gloria,spain,
336,Ya hemos llegado.,dolor_y_gloria,spain,
337,¿AquÍ está nuestra casa?,dolor_y_gloria,spain,
338,Estamos encima.,dolor_y_gloria,spain,
339,¿CÓmo que encima?,dolor_y_gloria,spain,
340,Encima.,dolor_y_gloria,spain,
341,- ¡Una cueva!,dolor_y_gloria,spain,
342,- Es lo mejor que he encontrado.,dolor_y_gloria,spain,
343,"- ¡Pero, por Dios, Venancio, una cueva!",dolor_y_gloria,spain,
344,"- ¡Salva, tira! Vamos.",dolor_y_gloria,spain,
345,¡Pero cÓmo vamos a vivir en una cueva!,dolor_y_gloria,spain,
346,Hay más de 300 familias viviendo en cuevas.,dolor_y_gloria,spain,
347,Es algo tÍpico de este pueblo.,dolor_y_gloria,spain,
348,No es ninguna vergüenza.,dolor_y_gloria,spain,
349,"¿Esta es nuestra casa, papá?",dolor_y_gloria,spain,
350,"Esta es, hijo, esta es.",dolor_y_gloria,spain,
351,Pasa.,dolor_y_gloria,spain,
352,¡Una cueva!,dolor_y_gloria,spain,
353,Por Dios...,dolor_y_gloria,spain,
354,Fue idea tuya dejar el pueblo y venirnos aquÍ.,dolor_y_gloria,spain,
355,QuÉ dirÍan en el pueblo si nos vieran...,dolor_y_gloria,spain,
356,"No he tenido tiempo de encalarlo,",dolor_y_gloria,spain,
357,por eso querÍa que esperarais un poco.,dolor_y_gloria,spain,
358,Está todo manga por hombro.,dolor_y_gloria,spain,
359,TodavÍa hay que apaÑarlo.,dolor_y_gloria,spain,
360,"¡Mamá, mira, el cielo!",dolor_y_gloria,spain,
361,Mira.,dolor_y_gloria,spain,
362,- Lo he limpiado lo mejor que he podido.,dolor_y_gloria,spain,
363,- ¿Y estás contento de que hayamos venido?,dolor_y_gloria,spain,
364,"Jacinta, querÍa otra cosa para vosotros.",dolor_y_gloria,spain,
365,"¿Tú crees que estoy contento de traeros aquÍ,",dolor_y_gloria,spain,
366,a una cueva?,dolor_y_gloria,spain,
367,- Pero no habÍa otra cosa. -Que no pasa nada...,dolor_y_gloria,spain,
368,"Yo la arreglo para que parezca una casa, venga.",dolor_y_gloria,spain,
369,Pero es que tu madre... De verdad.,dolor_y_gloria,spain,
370,Decirme lo del pan delante del niÑo...,dolor_y_gloria,spain,
371,"Mira, si a Él le ha encantado...",dolor_y_gloria,spain,
372,"Venga, que no te quiero ver tan serio,",dolor_y_gloria,spain,
373,que te pones muy feo.,dolor_y_gloria,spain,
374,"Papá, ¿puedo ponerme a barrer?",dolor_y_gloria,spain,
375,Necesito un taxi que me recoja.,dolor_y_gloria,spain,
376,En... Un momento.,dolor_y_gloria,spain,
377,- ¿Cuál es la direcciÓn?,dolor_y_gloria,spain,
378,"- Calle PontÓn, 89.",dolor_y_gloria,spain,
379,"Calle PontÓn, 89, en San Lorenzo de El Escorial.",dolor_y_gloria,spain,
380,"El destino es Paseo del Pintor Rosales, 108.",dolor_y_gloria,spain,
381,Eso es.,dolor_y_gloria,spain,
382,"SÍ, en Madrid, claro, claro.",dolor_y_gloria,spain,
383,"Muy bien... Quince minutos... Vale, gracias.",dolor_y_gloria,spain,
384,"Te ha quedado claro lo de la Filmoteca, ¿verdad?",dolor_y_gloria,spain,
385,- SÍ.,dolor_y_gloria,spain,
386,"- El 18, dentro de tres semanas.",dolor_y_gloria,spain,
387,Ya estoy pensando hasta en el modelo.,dolor_y_gloria,spain,
388,"Pero antes nos llamaremos, ¿no?",dolor_y_gloria,spain,
389,Bueno.,dolor_y_gloria,spain,
390,¿QuÉ me das?,dolor_y_gloria,spain,
391,Vamos a darnos dos besos como viejas amigas.,dolor_y_gloria,spain,
392,Si hasta nos hemos fumado,dolor_y_gloria,spain,
393,- el chino de la paz.,dolor_y_gloria,spain,
394,- Vale.,dolor_y_gloria,spain,
395,"Venga, venga.",dolor_y_gloria,spain,
396,Buenas.,dolor_y_gloria,spain,
397,¿Hola?,dolor_y_gloria,spain,
398,Soy yo.,dolor_y_gloria,spain,
399,"Salvador, ¿es verdad lo de la Filmoteca?",dolor_y_gloria,spain,
400,"SÍ, sÍ, sÍ.",dolor_y_gloria,spain,
401,"Tenme informada, hombre. No pases tanto de mÍ.",dolor_y_gloria,spain,
402,No... Pensaba decÍrtelo.,dolor_y_gloria,spain,
403,"No, si me encanta que proyecten",dolor_y_gloria,spain,
404,"Sabor y que salgas,",dolor_y_gloria,spain,
405,pero ¿seguro que quieres,dolor_y_gloria,spain,
406,un coloquio con gente?,dolor_y_gloria,spain,
407,- Se va a llenar...,dolor_y_gloria,spain,
408,"- No, no es que quiera un coloquio.",dolor_y_gloria,spain,
409,Pero tengo curiosidad por ver si la pelÍcula,dolor_y_gloria,spain,
410,ha sobrevivido estos 30 aÑos.,dolor_y_gloria,spain,
411,No lo dudes.,dolor_y_gloria,spain,
412,"Pero si decides no ir, me lo dices",dolor_y_gloria,spain,
413,"y lo arreglo, ¿eh?",dolor_y_gloria,spain,
414,Mejor cancelarlo ahora que en el último momento.,dolor_y_gloria,spain,
415,Muy bien. AdiÓs.,dolor_y_gloria,spain,
416,- Me voy ya. ¿Necesita algo?,dolor_y_gloria,spain,
417,"- No, gracias, Maya.",dolor_y_gloria,spain,
418,- Hasta maÑana.,dolor_y_gloria,spain,
419,- Hasta maÑana.,dolor_y_gloria,spain,
420,Era el hombre más solo,dolor_y_gloria,spain,
421,que la muerte ha visto jamás.,dolor_y_gloria,spain,
422,EntrÉ en la habitaciÓn donde estaba Johannes.,dolor_y_gloria,spain,
423,"Se habÍa dado la vuelta, haciÉndose un ovillo,",dolor_y_gloria,spain,
424,asÍ que no habÍa sitio para mÍ.,dolor_y_gloria,spain,
425,"Al intentar hacerme un hueco,",dolor_y_gloria,spain,
426,se despertÓ e hicimos el amor.,dolor_y_gloria,spain,
427,Pero la soledad me acompaÑaba y,dolor_y_gloria,spain,
428,no lograba expulsarla de mi corazÓn.,dolor_y_gloria,spain,
429,Estábamos todo lo cerca,dolor_y_gloria,spain,
430,"que dos personas pueden estar,",dolor_y_gloria,spain,
431,pero cada uno en su mundo.,dolor_y_gloria,spain,
432,Hola.,dolor_y_gloria,spain,
433,¿No pensabas abrirme?,dolor_y_gloria,spain,
434,No esperaba a nadie y me duele la cabeza.,dolor_y_gloria,spain,
435,"- Si quieres, me voy.",dolor_y_gloria,spain,
436,"- No, no, entra. Ya que estás aquÍ...",dolor_y_gloria,spain,
437,"¿Y vives asÍ, a oscuras?",dolor_y_gloria,spain,
438,"- Cuando me duele la cabeza, sÍ.",dolor_y_gloria,spain,
439,- ¡Pobre!,dolor_y_gloria,spain,
440,"Pero pedazo de casa tienes, tÍo.",dolor_y_gloria,spain,
441,¿Quieres tomar algo?,dolor_y_gloria,spain,
442,Cualquier licor.,dolor_y_gloria,spain,
